window_id,cpu,memory,disk,cpu_cores,mem_gb
7,0.125,0.1592,1.926E-4,1,2.5472
7,0.0625,0.1592,3.471E-4,1,2.5472
7,0.0625,0.1592,1.907E-5,1,2.5472
7,0.0625,0.1592,1.907E-5,1,2.5472
7,0.0625,0.1592,1.907E-5,1,2.5472
7,0.07629,0.1748,4.549E-4,1,2.7968
7,0.05627,0.1758,5.798E-4,1,2.8128
7,0.006248,0.1909,3.815E-5,1,3.0544
7,0.0625,0.1909,3.815E-5,1,3.0544
7,0.1875,0.1997,0.00246,1,3.1952
7,0.1882,0.2004,1.335E-4,1,3.2064
7,0.09375,0.2068,0.002876,1,3.3088
7,0.01062,0.2068,1.907E-6,1,3.3088
7,0.05627,0.2234,3.91E-5,1,3.5744
7,0.03748,0.2249,2.317E-4,1,3.5984
7,0.1514,0.2327,6.104E-4,1,3.7232
7,0.05627,0.2395,7.725E-4,1,3.832
7,0.0625,0.2544,1.154E-4,1,4.0704
7,0.0625,0.2544,1.154E-4,1,4.0704
7,0.0625,0.3818,1.154E-4,1,6.1088
7,0.0625,0.3818,1.154E-4,1,6.1088
7,0.0625,0.3818,1.154E-4,1,6.1088
7,0.0625,0.3818,1.154E-4,1,6.1088
7,0.05627,0.3828,7.725E-4,1,6.1248
7,0.25,0.4297,0.007042,1,6.8752
7,0.05627,0.5098,7.725E-4,1,8.1568
7,0.2529,0.03107,7.248E-5,2,0.49712
7,0.3125,0.0318,1.907E-5,2,0.5088
7,0.3125,0.0318,1.907E-5,2,0.5088
7,0.3789,0.03265,4.902E-4,2,0.5224
7,0.4375,0.09412,5.665E-4,2,1.50592
7,0.3125,0.1113,0.002911,2,1.7808
7,0.3125,0.1592,4.053E-4,2,2.5472
7,0.4062,0.3501,0.005791,2,5.6016
